LIVE R15 — DEATH GUARD DAEMON MORTARION + PLAGUE MARINES
CAT=15 GSTref=1

• Daemon Mortarion Source Entry hidden and replaced with discrete wargear, restriction, unique-rule and psychic-power entries plus Lantern/Nurgle’s Rot profiles
• Hidden 2 remaining visible Death Guard Source Entry wall(s), including old retinue clones
• Sons of the Plague Father now exposes an automatically scaling +7/model Plague Marines selector only while Daemon Mortarion is in the roster
• Eligible squad entries patched: 204
•   + assault-unit | Legion Assault Squad | counted member model entries=2
•   + breacher-unit | Legion Breacher Siege Squad | counted member model entries=2
•   + veteran-unit | Legion Veteran Squad | counted member model entries=2
•   + destroyer-unit | Legion Destroyer Squad | counted member model entries=2
•   + fa-seeker | Legion Seeker Squad | counted member model entries=2
•   + hs-heavy-support-squad | Legion Heavy Support Squad | counted member model entries=1
•   + hq-praetor | Legion Praetor | counted member model entries=7
•   + hq-praetor-ret-honour | Legion Honour Guard Squad | counted member model entries=2
•   + r8-um-praetor-suz-r41-unit-xiii-0-invictarus-suzerain-squad | INVICTARUS SUZERAIN SQUAD | counted member model entries=1
•   + hq-centurion | Legion Centurion | counted member model entries=5
•   + hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + da22-deathwing-companions | Deathwing Companion Detachment | counted member model entries=1
•   + da22-interemptors | Dreadwing Interemptor Squad | counted member model entries=1
•   + live-r2-da22-corswain-retinue-0-da22-deathwing-companions | Deathwing Companion Detachment | counted member model entries=1
•   + da22-redloss | Farith Redloss | counted member model entries=1
•   + live-r2-da22-redloss-retinue-0-da22-interemptors | Dreadwing Interemptor Squad | counted member model entries=1
•   + r35-pride-veteran-veteran-unit | Legion Veteran Squad | counted member model entries=2
•   + r35-destroyer-troops-destroyer-unit | Legion Destroyer Squad | counted member model entries=2
•   + r40-da-storm-assault | Legion Assault Squad (Storm of War compulsory) | counted member model entries=2
•   + r40-da-vow-veteran | Legion Veteran Squad | counted member model entries=2
•   + r40-da-eskaton-destroyer | Legion Destroyer Squad | counted member model entries=2
•   + r40-da-eskaton-interemptor | Dreadwing Interemptor Squad | counted member model entries=1
•   + r40-da-serpent-seeker | Legion Seeker Squad | counted member model entries=2
•   + r40-da-serpent-assault | Legion Assault Squad (Serpent’s Bane compulsory) | counted member model entries=2
•   + r52-ec-eid-honour | Legion Honour Guard Squad | counted member model entries=2
•   + r52-ec-luc-command | Legion Command Squad | counted member model entries=1
•   + r52-ec-ful-honour | Legion Honour Guard Squad | counted member model entries=2
•   + r57-iw-kroeger-retinue-legion-command-squad | Legion Command Squad | counted member model entries=1
•   + r57-iw-pert-retinue-legion-honour-guard-squad | Legion Honour Guard Squad | counted member model entries=2
•   + r60-ws-shiban-retinue-legion-command-squad | Legion Command Squad | counted member model entries=1
•   + r60-ws-hibou-retinue-legion-command-squad | Legion Command Squad | counted member model entries=1
•   + r60-ws-hibou-retinue-legion-veteran-squad | Legion Veteran Squad | counted member model entries=2
•   + r60-ws-hasik-retinue-legion-command-squad | Legion Command Squad | counted member model entries=1
•   + r60-ws-hasik-retinue-legion-veteran-squad | Legion Veteran Squad | counted member model entries=2
•   + r60-ws-jagh-retinue-legion-honour-guard-squad | Legion Honour Guard Squad | counted member model entries=2
•   + r41-unit-vi-0-grey-slayer-pack | Grey Slayer Pack | counted member model entries=1
•   + r41-unit-vi-1-grey-stalker-pack | Grey Stalker Pack | counted member model entries=1
•   + r41-unit-vi-3-deathsworn-pack | Deathsworn Pack | counted member model entries=1
•   + r41-unit-vi-4-jorlund-hunter-pack | Jorlund Hunter Pack | counted member model entries=1
•   + r63-sw-ohthere-command-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r63-sw-russ-honour-hq-praetor-ret-honour | Legion Honour Guard Squad | counted member model entries=2
•   + r41-unit-vii-0-templar-brethren-squad | Templar Brethren Squad | counted member model entries=3
•   + r41-unit-vii-1-phalanx-warder-squad | Phalanx Warder Squad | counted member model entries=1
•   + r41-unit-vii-4-sigismund-first-captain | Sigismund, First Captain | counted member model entries=4
•   + r64-if-sig-templar-r41-unit-vii-0-templar-brethren-squad | Templar Brethren Squad | counted member model entries=3
•   + r41-unit-vii-7-camba-diaz | Camba Diaz | counted member model entries=2
•   + r64-if-diaz-warder-r41-unit-vii-1-phalanx-warder-squad | Phalanx Warder Squad | counted member model entries=1
•   + r64-if-diaz-command-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r64-if-dorn-honour-hq-praetor-ret-honour | Legion Honour Guard Squad | counted member model entries=2
•   + r64-if-dorn-templar-r41-unit-vii-0-templar-brethren-squad | Templar Brethren Squad | counted member model entries=3
•   + r41-unit-viii-0-terror-squad | Terror Squad | counted member model entries=1
•   + r41-unit-viii-1-night-raptor-squad | Night Raptor Squad | counted member model entries=1
•   + r41-unit-viii-4-jago-sevatarion | Jago Sevatarion | counted member model entries=4
•   + r71-nl-sev-ret-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r41-unit-viii-5-kheron-ophion | Kheron Ophion | counted member model entries=3
•   + r71-nl-oph-ret-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r41-unit-viii-6-malcharion-the-war-sage | Malcharion, the War-Sage | counted member model entries=4
•   + r71-nl-mal-ret-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r71-nl-mal-ret-1-veteran-unit | Legion Veteran Squad | counted member model entries=2
•   + r41-unit-viii-7-shang | Shang | counted member model entries=2
•   + r71-nl-shang-ret-0-r41-unit-viii-0-terror-squad | Terror Squad | counted member model entries=1
•   + r41-unit-viii-8-flaymaster-mawdrym-llansahai | Flaymaster Mawdrym Llansahai | counted member model entries=1
•   + r71-nl-curze-ret-2-r41-unit-viii-1-night-raptor-squad | Night Raptor Squad | counted member model entries=1
•   + r71-nl-curze-ret-3-r41-unit-viii-0-terror-squad | Terror Squad | counted member model entries=1
•   + r74-ba-ral-cmd-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r74-ba-crohne-cmd-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r74-ba-amit-cmd-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r74-ba-sang-honour-hq-praetor-ret-honour | Legion Honour Guard Squad | counted member model entries=2
•   + r79-ih-meduson-command-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r79-ih-ferrus-honour-hq-praetor-ret-honour | Legion Honour Guard Squad | counted member model entries=2
•   + live-r3-we-r41-unit-xii-6-kharn-the-bloody-retinue-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + live-r3-we-r41-unit-xii-7-shabran-darr-retinue-1-assault-unit | Legion Assault Squad | counted member model entries=2
•   + live-r3-we-r41-unit-xii-9-kargos-the-bloodspitter-retinue-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + live-r3-we-r41-unit-xii-10-captain-ehrlen-retinue-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + live-r3-we-r41-unit-xii-12-xii-angron-the-red-angel-retinue-0-hq-praetor-ret-honour | Legion Honour Guard Squad | counted member model entries=2
•   + r41-unit-xiii-0-invictarus-suzerain-squad | INVICTARUS SUZERAIN SQUAD | counted member model entries=1
•   + r41-unit-xiii-2-locutarus-storm-squad | LOCUTARUS STORM SQUAD | counted member model entries=1
•   + r41-unit-xiii-3-nemesis-destroyer-squad | NEMESIS DESTROYER SQUAD | counted member model entries=1
•   + r41-unit-xiii-4-marius-gage-first-master | MARIUS GAGE, FIRST MASTER | counted member model entries=3
•   + live-r2-r41-unit-xiii-4-marius-gage-first-master-retinue-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + live-r2-r41-unit-xiii-4-marius-gage-first-master-retinue-2-r41-unit-xiii-0-invictarus-suzerain-squad | INVICTARUS SUZERAIN SQUAD | counted member model entries=1
•   + r41-unit-xiii-5-remus-ventanus | REMUS VENTANUS | counted member model entries=2
•   + live-r2-r41-unit-xiii-5-remus-ventanus-retinue-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r8-um-ventanus-suz-r41-unit-xiii-0-invictarus-suzerain-squad | INVICTARUS SUZERAIN SQUAD | counted member model entries=1
•   + r41-unit-xiii-8-titus-prayto | TITUS PRAYTO | counted member model entries=2
•   + live-r2-r41-unit-xiii-8-titus-prayto-retinue-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r8-um-prayto-suz-r41-unit-xiii-0-invictarus-suzerain-squad | INVICTARUS SUZERAIN SQUAD | counted member model entries=1
•   + r6-guilliman-ret-0-hq-praetor-ret-honour | Legion Honour Guard Squad | counted member model entries=2
•   + r6-guilliman-ret-2-r41-unit-xiii-0-invictarus-suzerain-squad | INVICTARUS SUZERAIN SQUAD | counted member model entries=1
•   + r41-unit-xiv-2-mortus-poisoner-squad | MORTUS POISONER SQUAD | counted member model entries=1
•   + r41-unit-xiv-4-crysos-morturg | CRYSOS MORTURG | counted member model entries=1
•   + live-r2-r41-unit-xiv-4-crysos-morturg-retinue-0-r41-unit-xiv-2-mortus-poisoner-squad | MORTUS POISONER SQUAD | counted member model entries=1
•   + r41-unit-xiv-5-durak-rask | DURAK RASK | counted member model entries=1
•   + live-r2-r41-unit-xiv-5-durak-rask-retinue-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r41-unit-xiv-6-ignatius-grulgor | IGNATIUS GRULGOR | counted member model entries=1
•   + live-r2-r41-unit-xiv-6-ignatius-grulgor-retinue-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r41-unit-xiv-7-nathaniel-garro | NATHANIEL GARRO | counted member model entries=1
•   + live-r2-r41-unit-xiv-7-nathaniel-garro-retinue-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r41-unit-xv-1-khenetai-occult-blade-cabal | KHENETAI OCCULT BLADE CABAL | counted member model entries=1
•   + r41-unit-xv-6-ahzek-ahriman | AHZEK AHRIMAN | counted member model entries=1
•   + live-r2-r41-unit-xv-6-ahzek-ahriman-retinue-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r41-unit-xv-7-phosis-t-kar | PHOSIS T'KAR | counted member model entries=1
•   + live-r2-r41-unit-xv-7-phosis-t-kar-retinue-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + live-r2-r41-unit-xv-8-magistus-amon-the-hidden-retinue-1-fa-seeker | Legion Seeker Squad | counted member model entries=2
•   + r41-unit-xv-9-hathor-maat | HATHOR MAAT | counted member model entries=1
•   + live-r2-r41-unit-xv-9-hathor-maat-retinue-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r41-unit-xv-10-sanakht | SANAKHT | counted member model entries=1
•   + live-r2-r41-unit-xv-10-sanakht-retinue-0-r41-unit-xv-1-khenetai-occult-blade-cabal | KHENETAI OCCULT BLADE CABAL | counted member model entries=1
•   + live-r2-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-0-hq-praetor-ret-honour | Legion Honour Guard Squad | counted member model entries=2
•   + r41-unit-xvi-1-reaver-attack-squad | REAVER ATTACK SQUAD | counted member model entries=1
•   + r41-unit-xvi-2-chieftain-squad | CHIEFTAIN SQUAD | counted member model entries=1
•   + r41-unit-xvi-3-luperci-pack | LUPERCI PACK | counted member model entries=1
•   + r41-unit-xvi-5-horus-aximand-little-horus | HORUS AXIMAND, “LITTLE HORUS” | counted member model entries=2
•   + live-r2-r41-unit-xvi-5-horus-aximand-little-horus-retinue-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + live-r2-r41-unit-xvi-5-horus-aximand-little-horus-retinue-1-r41-unit-xvi-2-chieftain-squad | CHIEFTAIN SQUAD | counted member model entries=1
•   + r41-unit-xvi-6-garviel-loken | GARVIEL LOKEN | counted member model entries=3
•   + live-r2-r41-unit-xvi-6-garviel-loken-retinue-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + live-r2-r41-unit-xvi-6-garviel-loken-retinue-1-veteran-unit | Legion Veteran Squad | counted member model entries=2
•   + r41-unit-xvi-8-tybalt-marr-the-either | TYBALT MARR, “THE EITHER” | counted member model entries=3
•   + live-r2-r41-unit-xvi-8-tybalt-marr-the-either-retinue-0-veteran-unit | Legion Veteran Squad | counted member model entries=2
•   + live-r2-r41-unit-xvi-8-tybalt-marr-the-either-retinue-1-r41-unit-xvi-1-reaver-attack-squad | REAVER ATTACK SQUAD | counted member model entries=1
•   + r41-unit-xvi-9-vheren-ashurhaddon | VHEREN ASHURHADDON | counted member model entries=1
•   + live-r2-r41-unit-xvi-9-vheren-ashurhaddon-retinue-0-r41-unit-xvi-1-reaver-attack-squad | REAVER ATTACK SQUAD | counted member model entries=1
•   + r41-unit-xvii-1-gal-vorbak-dark-brethren | GAL VORBAK DARK BRETHREN | counted member model entries=1
•   + r41-unit-xvii-2-ashen-circle | ASHEN CIRCLE | counted member model entries=1
•   + r41-unit-xvii-4-procurator-squad | PROCURATOR SQUAD | counted member model entries=1
•   + r41-unit-xvii-5-possessed-marine-squad | POSSESSED MARINE SQUAD | counted member model entries=1
•   + r41-unit-xvii-6-argel-tal | ARGEL TAL | counted member model entries=1
•   + live-r2-r41-unit-xvii-6-argel-tal-retinue-0-r41-unit-xvii-1-gal-vorbak-dark-brethren | GAL VORBAK DARK BRETHREN | counted member model entries=1
•   + r41-unit-xvii-7-high-chaplain-erebus | HIGH CHAPLAIN EREBUS | counted member model entries=1
•   + live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r41-unit-xvii-11-hol-beloth | HOL BELOTH | counted member model entries=1
•   + live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r41-unit-xviii-1-pyroclast-squad | PYROCLAST SQUAD | counted member model entries=1
•   + r41-unit-xviii-2-salamanders-infernus-destroyer-squad | SALAMANDERS INFERNUS DESTROYER SQUAD | counted member model entries=1
•   + r41-unit-xviii-3-adherent-squad | ADHERENT SQUAD | counted member model entries=1
•   + r41-unit-xviii-4-sanctifier-squad | SANCTIFIER SQUAD | counted member model entries=1
•   + r41-unit-xviii-5-artellus-numeon | ARTELLUS NUMEON | counted member model entries=3
•   + live-r2-r41-unit-xviii-5-artellus-numeon-retinue-1-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r41-unit-xviii-6-lord-chaplain-nomus-rhy-tan | LORD CHAPLAIN NOMUS RHY'TAN | counted member model entries=3
•   + live-r2-r41-unit-xviii-6-lord-chaplain-nomus-rhy-tan-retinue-1-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r41-unit-xix-0-mor-deythan-squad | MOR DEYTHAN SQUAD | counted member model entries=1
•   + r41-unit-xix-1-dark-fury-assault-squad | DARK FURY ASSAULT SQUAD | counted member model entries=1
•   + r41-unit-xix-3-raptor-squad | RAPTOR SQUAD | counted member model entries=1
•   + r41-unit-xix-5-alvarex-maun | ALVAREX MAUN | counted member model entries=1
•   + live-r2-r41-unit-xix-5-alvarex-maun-retinue-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r41-unit-xx-1-headhunter-kill-team | HEADHUNTER KILL TEAM | counted member model entries=1
•   + r41-unit-xx-3-effrit-disruption-cadre | EFFRIT DISRUPTION CADRE | counted member model entries=1
•   + r41-unit-xx-4-armillus-dynat | ARMILLUS DYNAT | counted member model entries=3
•   + live-r2-r41-unit-xx-4-armillus-dynat-retinue-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + r41-unit-xx-7-ingo-pech | INGO PECH | counted member model entries=5
•   + live-r2-r41-unit-xx-7-ingo-pech-retinue-0-hq-centurion-ret-command | Legion Command Squad | counted member model entries=1
•   + live-r2-r41-unit-xx-7-ingo-pech-retinue-3-fa-seeker | Legion Seeker Squad | counted member model entries=2
•   + r42-role-iii-1-effects-chosen-of-vairosean-kakophoni-squads-r41-unit-iii-2-kakophoni-squad | KAKOPHONI SQUAD | counted member model entries=1
•   + r42-role-vii-0-effects-warders-of-the-phalanx-phalanx-warder-squads-r41-unit-vii-1-phalanx-warder-squad | PHALANX WARDER SQUAD | counted member model entries=1
•   + r42-role-vii-1-effects-landing-force-phalanx-warder-squads-r41-unit-vii-1-phalanx-warder-squad | PHALANX WARDER SQUAD | counted member model entries=1
•   + r42-role-vii-2-effects-templar-host-templar-brethren-squads-r41-unit-vii-0-templar-brethren-squad | TEMPLAR BRETHREN SQUAD | counted member model entries=1
•   + r42-role-xiv-0-effects-superior-firepower-legion-veteran-squads-veteran-unit | Legion Veteran Squad | counted member model entries=2
•   + r42-role-xiv-0-legion-heavy-support-squads-hs-heavy-support-squad | Legion Heavy Support Squad | counted member model entries=1
•   + live-r2-r42-role-xv-crimson-magnus-hq-r41-unit-xv-11-xv-magnus-the-red-the-crimson-king-retinue-0-hq-praetor-ret-honour | Legion Honour Guard Squad | counted member model entries=2
•   + r42-role-xvi-1-effects-reaver-onslaught-reaver-attack-squads-r41-unit-xvi-1-reaver-attack-squad | REAVER ATTACK SQUAD | counted member model entries=1
•   + r42-role-xviii-0-effects-disciples-of-the-flame-pyroclast-squads-r41-unit-xviii-1-pyroclast-squad | PYROCLAST SQUAD | counted member model entries=1
•   + r42-role-xviii-0-salamanders-infernus-destroyer-squads-r41-unit-xviii-2-salamanders-infernus-destroyer-squad | SALAMANDERS INFERNUS DESTROYER SQUAD | counted member model entries=1
•   + r42-role-xx-1-effects-headhunter-elite-headhunter-kill-teams-r41-unit-xx-1-headhunter-kill-team | HEADHUNTER KILL TEAM | counted member model entries=1
•   + r46-al-reward-0 | PALATINE BLADE SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-2 | KAKOPHONI SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-3 | SUN KILLER SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-5 | IRON HAVOC SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-10 | GREY STALKER PACK — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-12 | DEATHSWORN PACK — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-13 | JORLUND HUNTER PACK — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-16 | TEMPLAR BRETHREN SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-17 | PHALANX WARDER SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-18 | TERROR SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-19 | NIGHT RAPTOR SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-21 | DAWNBREAKER COHORT — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-23 | ANGEL'S TEARS SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-34 | INVICTARUS SUZERAIN SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-36 | LOCUTARUS STORM SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-37 | NEMESIS DESTROYER SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-40 | MORTUS POISONER SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-42 | KHENETAI OCCULT BLADE CABAL — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-47 | REAVER ATTACK SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-48 | CHIEFTAIN SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-49 | LUPERCI PACK — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-50 | GAL VORBAK DARK BRETHREN — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-51 | PROCURATOR SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-52 | POSSESSED MARINE SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-54 | PYROCLAST SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-55 | SALAMANDERS INFERNUS DESTROYER SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-56 | ADHERENT SQUAD — Rewards of Treachery | counted member model entries=1
