R34 DIAGNOSTIC — REFERENCE RULES / SONS OF HORUS / NAMES
CAT revision=33

PLACEHOLDER RULES (805):
Daemonic Aura | The model gains a 5+ Invulnerable Save. | Daemonic Aura > Legiones Astartes | r47-wb-favour-aura-rule
Daemonic Mutation | The model gains +1 Attack. | Daemonic Mutation > Legiones Astartes | r47-wb-favour-mutation-rule
Daemonic Strength | The model gains +1 Strength. | Daemonic Strength > Legiones Astartes | r47-wb-favour-strength-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Terminator Squad — Long March (non-compulsory Troops) > Legiones Astartes | r32-soh-long-march-r71-nl-bj-5-rule
Cult Arcana — Quickblood | This unit gains Fleet. | Pavoni > Prosperine Cult > Legion Terminator Squad — Long March (non-compulsory Troops) > Legiones Astartes | r32-soh-long-march-r19-cult-r45-cult-terminator-unit-0-arcana
Cult Mastery — Quickblood | If this unit has the Psyker or Brotherhood of Psykers special rule, it also gains Crusader. | Pavoni > Prosperine Cult > Legion Terminator Squad — Long March (non-compulsory Troops) > Legiones Astartes | r32-soh-long-march-r19-cult-r45-cult-terminator-unit-0-mastery
Cult Mastery — Kine Shields | If this unit has the Psyker or Brotherhood of Psykers special rule, models instead gain a 5+ Invulnerable Save against shooting; an existing Invulnerable Save improves by 1 against shooting to a maximum of 4+, and Cover Saves against shooting improve by 1 to a maximum of 3+. These benefits do not apply in close combat. | Raptora > Prosperine Cult > Legion Terminator Squad — Long March (non-compulsory Troops) > Legiones Astartes | r32-soh-long-march-r19-cult-r45-cult-terminator-unit-1-mastery
Cult Mastery — Precognitive Strike | If this unit has the Psyker or Brotherhood of Psykers special rule, it may also re-roll To Hit rolls of 1 when making Overwatch, Return Fire and Stand & Shoot attacks. | Corvidae > Prosperine Cult > Legion Terminator Squad — Long March (non-compulsory Troops) > Legiones Astartes | r32-soh-long-march-r19-cult-r45-cult-terminator-unit-2-mastery
Cult Arcana — Discipline of the Mind | This unit gains Stubborn and may re-roll failed Pinning tests. | Athanaeans > Prosperine Cult > Legion Terminator Squad — Long March (non-compulsory Troops) > Legiones Astartes | r32-soh-long-march-r19-cult-r45-cult-terminator-unit-3-arcana
Cult Mastery — Discipline of the Mind | If this unit has the Psyker or Brotherhood of Psykers special rule, it additionally gains Adamantium Will. | Athanaeans > Prosperine Cult > Legion Terminator Squad — Long March (non-compulsory Troops) > Legiones Astartes | r32-soh-long-march-r19-cult-r45-cult-terminator-unit-3-mastery
Cult Arcana — Ashen Blow | This unit gains Hammer of Wrath. | Pyrae > Prosperine Cult > Legion Terminator Squad — Long March (non-compulsory Troops) > Legiones Astartes | r32-soh-long-march-r19-cult-r45-cult-terminator-unit-4-arcana
Cult Mastery — Ashen Blow | If this unit has the Psyker or Brotherhood of Psykers special rule, close-combat attacks and Flame weapons used by models in the unit gain Soul Blaze. | Pyrae > Prosperine Cult > Legion Terminator Squad — Long March (non-compulsory Troops) > Legiones Astartes | r32-soh-long-march-r19-cult-r45-cult-terminator-unit-4-mastery
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Terminator Squad — Horus’ First Company > Legiones Astartes | r32-soh-first-company-term-r71-nl-bj-5-rule
Cult Arcana — Quickblood | This unit gains Fleet. | Pavoni > Prosperine Cult > Legion Terminator Squad — Horus’ First Company > Legiones Astartes | r32-soh-first-company-term-r19-cult-r45-cult-terminator-unit-0-arcana
Cult Mastery — Quickblood | If this unit has the Psyker or Brotherhood of Psykers special rule, it also gains Crusader. | Pavoni > Prosperine Cult > Legion Terminator Squad — Horus’ First Company > Legiones Astartes | r32-soh-first-company-term-r19-cult-r45-cult-terminator-unit-0-mastery
Cult Mastery — Kine Shields | If this unit has the Psyker or Brotherhood of Psykers special rule, models instead gain a 5+ Invulnerable Save against shooting; an existing Invulnerable Save improves by 1 against shooting to a maximum of 4+, and Cover Saves against shooting improve by 1 to a maximum of 3+. These benefits do not apply in close combat. | Raptora > Prosperine Cult > Legion Terminator Squad — Horus’ First Company > Legiones Astartes | r32-soh-first-company-term-r19-cult-r45-cult-terminator-unit-1-mastery
Cult Mastery — Precognitive Strike | If this unit has the Psyker or Brotherhood of Psykers special rule, it may also re-roll To Hit rolls of 1 when making Overwatch, Return Fire and Stand & Shoot attacks. | Corvidae > Prosperine Cult > Legion Terminator Squad — Horus’ First Company > Legiones Astartes | r32-soh-first-company-term-r19-cult-r45-cult-terminator-unit-2-mastery
Cult Arcana — Discipline of the Mind | This unit gains Stubborn and may re-roll failed Pinning tests. | Athanaeans > Prosperine Cult > Legion Terminator Squad — Horus’ First Company > Legiones Astartes | r32-soh-first-company-term-r19-cult-r45-cult-terminator-unit-3-arcana
Cult Mastery — Discipline of the Mind | If this unit has the Psyker or Brotherhood of Psykers special rule, it additionally gains Adamantium Will. | Athanaeans > Prosperine Cult > Legion Terminator Squad — Horus’ First Company > Legiones Astartes | r32-soh-first-company-term-r19-cult-r45-cult-terminator-unit-3-mastery
Cult Arcana — Ashen Blow | This unit gains Hammer of Wrath. | Pyrae > Prosperine Cult > Legion Terminator Squad — Horus’ First Company > Legiones Astartes | r32-soh-first-company-term-r19-cult-r45-cult-terminator-unit-4-arcana
Cult Mastery — Ashen Blow | If this unit has the Psyker or Brotherhood of Psykers special rule, close-combat attacks and Flame weapons used by models in the unit gain Soul Blaze. | Pyrae > Prosperine Cult > Legion Terminator Squad — Horus’ First Company > Legiones Astartes | r32-soh-first-company-term-r19-cult-r45-cult-terminator-unit-4-mastery
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Tactical Squad > Legiones Astartes | r71-nl-gen-0-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Tactical Squad > Legiones Astartes | r71-nl-bj-0-rule
Cult Arcana — Quickblood | This unit gains Fleet. | Pavoni > Prosperine Cult > Legion Tactical Squad > Legiones Astartes | r19-cult-r45-cult-tactical-unit-0-arcana
Cult Mastery — Quickblood | If this unit has the Psyker or Brotherhood of Psykers special rule, it also gains Crusader. | Pavoni > Prosperine Cult > Legion Tactical Squad > Legiones Astartes | r19-cult-r45-cult-tactical-unit-0-mastery
Cult Mastery — Kine Shields | If this unit has the Psyker or Brotherhood of Psykers special rule, models instead gain a 5+ Invulnerable Save against shooting; an existing Invulnerable Save improves by 1 against shooting to a maximum of 4+, and Cover Saves against shooting improve by 1 to a maximum of 3+. These benefits do not apply in close combat. | Raptora > Prosperine Cult > Legion Tactical Squad > Legiones Astartes | r19-cult-r45-cult-tactical-unit-1-mastery
Cult Mastery — Precognitive Strike | If this unit has the Psyker or Brotherhood of Psykers special rule, it may also re-roll To Hit rolls of 1 when making Overwatch, Return Fire and Stand & Shoot attacks. | Corvidae > Prosperine Cult > Legion Tactical Squad > Legiones Astartes | r19-cult-r45-cult-tactical-unit-2-mastery
Cult Arcana — Discipline of the Mind | This unit gains Stubborn and may re-roll failed Pinning tests. | Athanaeans > Prosperine Cult > Legion Tactical Squad > Legiones Astartes | r19-cult-r45-cult-tactical-unit-3-arcana
Cult Mastery — Discipline of the Mind | If this unit has the Psyker or Brotherhood of Psykers special rule, it additionally gains Adamantium Will. | Athanaeans > Prosperine Cult > Legion Tactical Squad > Legiones Astartes | r19-cult-r45-cult-tactical-unit-3-mastery
