gear-multimelta | Multi-Melta | type=upgrade
gear-hand-flamer | Hand Flamer | type=upgrade
transport-drop-pod | Legion Drop Pod | type=model
transport-dreadclaw | Anvillus Pattern Dreadclaw Drop Pod | type=model
gear-plasma-blaster | Plasma Blaster | type=upgrade
transport-dreadnought-pod | Legion Dreadnought Drop Pod | type=model
fa-gear-tl-las | Twin-linked Lascannon | type=upgrade
hsgear-tl-multimelta | Twin-linked Multi-Melta | type=upgrade
gear-hq-narthecium | Narthecium | type=upgrade
gear-hq-reductor | Reductor | type=upgrade
r43-ec-reductor | Reductor | type=upgrade
r32-soh-long-march-r40-da-steel-transport-terminator-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
r32-soh-long-march-r40-da-steel-transport-terminator-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
r32-soh-long-march-r40-da-steel-transport-terminator-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
r32-soh-first-company-term-r40-da-steel-transport-terminator-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
r32-soh-first-company-term-r40-da-steel-transport-terminator-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
r32-soh-first-company-term-r40-da-steel-transport-terminator-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
r32-soh-first-company-just-r41-unit-xvi-0-justaerin-terminator-squad-opt-8-multi-melta | Multi-Melta | type=upgrade
r32-abaddon-extra-justaerin-r41-unit-xvi-0-justaerin-terminator-squad-opt-8-multi-melta | Multi-Melta | type=upgrade
r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r83-ih-scions-0-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
r83-ih-scions-1-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
r40-da-steel-transport-tactical-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
r40-da-steel-transport-tactical-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
r40-da-steel-transport-tactical-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
r40-da-steel-transport-breacher-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
r40-da-steel-transport-breacher-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
r40-da-steel-transport-breacher-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
r37-spear-recon-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r37-spear-recon-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r37-spear-recon-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r83-ih-scions-2-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
r83-ih-scions-3-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
r40-da-steel-transport-recon-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
r40-da-steel-transport-recon-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
r40-da-steel-transport-recon-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r83-ih-scions-4-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
r83-ih-scions-5-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
r40-da-steel-transport-veteran-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
